child_id,timestamp,age,condition,heart_rate,activity_level,location,latitude,longitude,incident_type,hour,is_school_time,is_high_hr,is_high_activity,hr_to_activity_ratio,in_safe_zone,is_dangerous
child_000,2026-01-30 07:00:00,10,normal,78,15,في الطريق,30.054326,31.245748,none,7,0,0,0,4.875,0,0
child_000,2026-01-30 07:15:00,10,normal,80,29,في الطريق,30.054471,31.245617,none,7,0,0,0,2.6666666666666665,0,0
child_000,2026-01-30 07:30:00,10,normal,78,28,في الطريق,30.054315,31.245654,none,7,0,0,0,2.689655172413793,0,0
child_000,2026-01-30 07:45:00,10,normal,75,25,في الطريق,30.054439,31.245778,none,7,0,0,0,2.8846153846153846,0,0
child_000,2026-01-30 08:00:00,10,normal,82,28,المدرسة,30.064449,31.255787,none,8,1,0,0,2.8275862068965516,0,0
child_000,2026-01-30 08:15:00,10,normal,84,22,المدرسة,30.064346,31.255623,none,8,1,0,0,3.652173913043478,0,0
child_000,2026-01-30 08:30:00,10,normal,85,32,المدرسة,30.064373,31.255618,none,8,1,0,0,2.5757575757575757,0,0
child_000,2026-01-30 08:45:00,10,normal,86,36,المدرسة,30.064301,31.255726,none,8,1,0,0,2.324324324324324,0,0
child_000,2026-01-30 09:00:00,10,normal,84,37,المدرسة,30.064425,31.255616,none,9,1,0,0,2.210526315789474,0,0
child_000,2026-01-30 09:15:00,10,normal,88,31,المدرسة,30.064332,31.255764,none,9,1,0,0,2.75,0,0
child_000,2026-01-30 09:30:00,10,normal,77,31,المدرسة,30.064423,31.255798,none,9,1,0,0,2.40625,0,0
child_000,2026-01-30 09:45:00,10,normal,90,39,المدرسة,30.064338,31.255693,none,9,1,0,0,2.25,0,0
child_000,2026-01-30 10:00:00,10,normal,79,21,المدرسة,30.064491,31.25562,none,10,1,0,0,3.590909090909091,0,0
child_000,2026-01-30 10:15:00,10,normal,82,22,المدرسة,30.064371,31.255718,none,10,1,0,0,3.5652173913043477,0,0
child_000,2026-01-30 10:30:00,10,normal,87,25,المدرسة,30.064469,31.255695,none,10,1,0,0,3.3461538461538463,0,0
child_000,2026-01-30 10:45:00,10,normal,87,24,المدرسة,30.064436,31.255756,none,10,1,0,0,3.48,0,0
child_000,2026-01-30 11:00:00,10,normal,87,20,المدرسة,30.064469,31.255628,none,11,1,0,0,4.142857142857143,0,0
child_000,2026-01-30 11:15:00,10,normal,85,21,المدرسة,30.064387,31.255639,none,11,1,0,0,3.8636363636363638,0,0
child_000,2026-01-30 11:30:00,10,normal,81,30,المدرسة,30.0643,31.255617,none,11,1,0,0,2.6129032258064515,0,0
child_000,2026-01-30 11:45:00,10,normal,84,36,المدرسة,30.064478,31.255696,none,11,1,0,0,2.27027027027027,0,0
child_000,2026-01-30 12:00:00,10,normal,82,59,المدرسة,30.064434,31.255717,none,12,1,0,0,1.3666666666666667,0,0
child_000,2026-01-30 12:15:00,10,normal,89,59,المدرسة,30.064365,31.255628,none,12,1,0,0,1.4833333333333334,0,0
child_000,2026-01-30 12:30:00,10,normal,97,75,المدرسة,30.06433,31.255708,none,12,1,0,1,1.2763157894736843,0,0
child_000,2026-01-30 12:45:00,10,normal,165,123,المدرسة,30.064346,31.255621,potential_danger,12,1,1,1,1.3306451612903225,0,1
child_000,2026-01-30 13:00:00,10,normal,94,56,المدرسة,30.064425,31.255678,none,13,1,0,0,1.6491228070175439,0,0
child_000,2026-01-30 13:15:00,10,normal,89,59,المدرسة,30.064398,31.255705,none,13,1,0,0,1.4833333333333334,0,0
child_000,2026-01-30 13:30:00,10,normal,88,62,المدرسة,30.064419,31.255604,none,13,1,0,1,1.3968253968253967,0,0
child_000,2026-01-30 13:45:00,10,normal,160,105,المدرسة,30.064326,31.255708,potential_danger,13,1,1,1,1.509433962264151,0,1
child_000,2026-01-30 14:00:00,10,normal,90,26,المدرسة,30.064348,31.255733,none,14,1,0,0,3.3333333333333335,0,0
child_000,2026-01-30 14:15:00,10,normal,85,26,المدرسة,30.064357,31.255612,none,14,1,0,0,3.1481481481481484,0,0
child_000,2026-01-30 14:30:00,10,normal,116,67,المدرسة,30.064443,31.255613,intense_exercise,14,1,1,1,1.7058823529411764,0,1
child_000,2026-01-30 14:45:00,10,normal,85,37,المدرسة,30.06435,31.255667,none,14,1,0,0,2.236842105263158,0,0
child_000,2026-01-30 15:00:00,10,normal,95,71,في الطريق,30.054366,31.245798,none,15,0,0,1,1.3194444444444444,0,0
child_000,2026-01-30 15:15:00,10,normal,98,80,في الطريق,30.054377,31.245729,none,15,0,0,1,1.2098765432098766,0,0
child_000,2026-01-30 15:30:00,10,normal,96,68,في الطريق,30.054338,31.245757,none,15,0,0,1,1.391304347826087,0,0
child_000,2026-01-30 15:45:00,10,normal,95,69,في الطريق,30.054373,31.245719,none,15,0,0,1,1.3571428571428572,0,0
child_000,2026-01-30 16:00:00,10,normal,94,69,النادي,30.034349,31.225714,none,16,0,0,1,1.3428571428571427,0,0
child_000,2026-01-30 16:15:00,10,normal,98,61,النادي,30.034423,31.225759,none,16,0,0,1,1.5806451612903225,0,0
child_000,2026-01-30 16:30:00,10,normal,94,66,النادي,30.034373,31.225717,none,16,0,0,1,1.4029850746268657,0,0
child_000,2026-01-30 16:45:00,10,normal,98,68,النادي,30.034313,31.225789,none,16,0,0,1,1.4202898550724639,0,0
child_000,2026-01-30 17:00:00,10,normal,95,74,النادي,30.034372,31.225726,none,17,0,0,1,1.2666666666666666,0,0
child_000,2026-01-30 17:15:00,10,normal,99,69,النادي,30.03438,31.225616,none,17,0,0,1,1.4142857142857144,0,0
child_000,2026-01-30 17:30:00,10,normal,93,79,النادي,30.034396,31.225671,none,17,0,0,1,1.1625,0,0
child_000,2026-01-30 17:45:00,10,normal,94,74,النادي,30.03437,31.22568,none,17,0,0,1,1.2533333333333334,0,0
child_000,2026-01-30 18:00:00,10,normal,86,37,النادي,30.034388,31.225688,none,18,0,0,0,2.263157894736842,0,0
child_000,2026-01-30 18:15:00,10,normal,80,30,النادي,30.034492,31.225656,none,18,0,0,0,2.5806451612903225,0,0
child_000,2026-01-30 18:30:00,10,normal,85,38,النادي,30.034472,31.225777,none,18,0,0,0,2.1794871794871793,0,0
child_000,2026-01-30 18:45:00,10,normal,81,40,النادي,30.034455,31.225693,none,18,0,0,0,1.975609756097561,0,0
child_000,2026-01-31 07:00:00,10,normal,79,21,في الطريق,30.054405,31.245608,none,7,0,0,0,3.590909090909091,0,0
child_000,2026-01-31 07:15:00,10,normal,76,15,في الطريق,30.054417,31.245791,none,7,0,0,0,4.75,0,0
child_000,2026-01-31 07:30:00,10,normal,79,11,في الطريق,30.054329,31.245696,none,7,0,0,0,6.583333333333333,0,0
child_000,2026-01-31 07:45:00,10,normal,73,17,في الطريق,30.054482,31.24579,none,7,0,0,0,4.055555555555555,0,0
child_000,2026-01-31 08:00:00,10,normal,85,30,المدرسة,30.064439,31.255694,none,8,1,0,0,2.7419354838709675,0,0
child_000,2026-01-31 08:15:00,10,normal,86,32,المدرسة,30.064367,31.255707,none,8,1,0,0,2.606060606060606,0,0
child_000,2026-01-31 08:30:00,10,normal,88,29,المدرسة,30.064373,31.25571,none,8,1,0,0,2.933333333333333,0,0
child_000,2026-01-31 08:45:00,10,normal,80,20,المدرسة,30.064442,31.255657,none,8,1,0,0,3.8095238095238093,0,0
child_000,2026-01-31 09:00:00,10,normal,87,34,المدرسة,30.064395,31.25569,none,9,1,0,0,2.4857142857142858,0,0
child_000,2026-01-31 09:15:00,10,normal,89,29,المدرسة,30.064467,31.25573,none,9,1,0,0,2.966666666666667,0,0
child_000,2026-01-31 09:30:00,10,normal,82,31,المدرسة,30.064432,31.255643,none,9,1,0,0,2.5625,0,0
child_000,2026-01-31 09:45:00,10,normal,84,37,المدرسة,30.064315,31.255761,none,9,1,0,0,2.210526315789474,0,0
child_000,2026-01-31 10:00:00,10,normal,82,31,المدرسة,30.064338,31.255794,none,10,1,0,0,2.5625,0,0
child_000,2026-01-31 10:15:00,10,normal,85,33,المدرسة,30.06437,31.255671,none,10,1,0,0,2.5,0,0
child_000,2026-01-31 10:30:00,10,normal,89,33,المدرسة,30.064399,31.255748,none,10,1,0,0,2.6176470588235294,0,0
child_000,2026-01-31 10:45:00,10,normal,83,34,المدرسة,30.064362,31.255713,none,10,1,0,0,2.3714285714285714,0,0
child_000,2026-01-31 11:00:00,10,normal,87,23,المدرسة,30.064345,31.255747,none,11,1,0,0,3.625,0,0
child_000,2026-01-31 11:15:00,10,normal,84,30,المدرسة,30.064308,31.255603,none,11,1,0,0,2.7096774193548385,0,0
child_000,2026-01-31 11:30:00,10,normal,154,85,المدرسة,30.064337,31.255611,potential_danger,11,1,1,1,1.7906976744186047,0,1
child_000,2026-01-31 11:45:00,10,normal,157,77,المدرسة,30.064474,31.255632,potential_danger,11,1,1,1,2.0128205128205128,0,1
child_000,2026-01-31 12:00:00,10,normal,95,58,المدرسة,30.064368,31.255717,none,12,1,0,0,1.6101694915254237,0,0
child_000,2026-01-31 12:15:00,10,normal,90,71,المدرسة,30.064432,31.255789,none,12,1,0,1,1.25,0,0
child_000,2026-01-31 12:30:00,10,normal,91,73,المدرسة,30.064341,31.255655,none,12,1,0,1,1.2297297297297298,0,0
child_000,2026-01-31 12:45:00,10,normal,94,59,المدرسة,30.064317,31.255658,none,12,1,0,0,1.5666666666666667,0,0
child_000,2026-01-31 13:00:00,10,normal,93,57,المدرسة,30.064395,31.255776,none,13,1,0,0,1.603448275862069,0,0
child_000,2026-01-31 13:15:00,10,normal,149,118,المدرسة,30.064445,31.255799,potential_danger,13,1,1,1,1.2521008403361344,0,1
child_000,2026-01-31 13:30:00,10,normal,95,63,المدرسة,30.064394,31.25577,none,13,1,0,1,1.484375,0,0
child_000,2026-01-31 13:45:00,10,normal,96,72,المدرسة,30.064303,31.255639,none,13,1,0,1,1.3150684931506849,0,0
child_000,2026-01-31 14:00:00,10,normal,85,23,المدرسة,30.064488,31.255716,none,14,1,0,0,3.5416666666666665,0,0
child_000,2026-01-31 14:15:00,10,normal,84,38,المدرسة,30.064416,31.255665,none,14,1,0,0,2.1538461538461537,0,0
child_000,2026-01-31 14:30:00,10,normal,83,23,المدرسة,30.064431,31.255724,none,14,1,0,0,3.4583333333333335,0,0
child_000,2026-01-31 14:45:00,10,normal,89,21,المدرسة,30.064418,31.255777,none,14,1,0,0,4.045454545454546,0,0
